type,name,participants,date,location,organizer
Conference,HR Tech World,790,2024-09-22,London,HR Tech Group,https://www.hrtechnologies.co.uk/
Conference,Legal Innovation,860,2024-10-28,Berlin,LegalTech Europe,https://www.linkedin.com/posts/axiom_law_legalinnovation2024-legaltech-accesstojustice-activity-7199035436827054080-jXVt
Seminar,Data Visualization,170,2024-01-08,Stockholm,Data Institute,https://training.scilifelab.se/events/workshop-on-data-visualization-in-r
Seminar,Machine Learning Intro,145,2024-02-12,Copenhagen,AI Academy,https://www.ai-academy.com/
Seminar,Digital Marketing 101,155,2024-03-17,Brussels,Marketing School,https://digitalmarketingcon.eu/digital-marketing-2024/
Seminar,Blockchain Basics,135,2024-04-21,Zurich,Crypto Academy,https://www.blockchain.uzh.ch/courses/international-summer-school-deep-dive-into-blockchain-2024/
Seminar,UI/UX Principles,125,2024-05-26,Amsterdam,Design School,https://www.eventbrite.dk/d/netherlands--amsterdam/ui-ux-design/
Seminar,SEO Workshop,165,2024-06-30,Dublin,Digital Marketing Pro,https://bedynamic.ie/search-engine-optimisation-seo-bootcamp-training-dublin/
Seminar,Web Development,115,2024-08-04,Oslo,Web Developers,https://www.webdevopen.com/
Seminar,App Design,105,2024-09-08,Helsinki,Mobile Developers,https://international.gov-design.com/helsinki2024/
Seminar,Data Privacy,185,2024-10-13,Vienna,Privacy Foundation,https://globalprivacyassembly.org/dataprotectionday2024/
Seminar,Cloud Security,175,2024-11-17,Munich,Security Institute,https://securityconference.org/en/msc-2024/marketplace/
Olympiad,Junior Math Olympiad,210,2024-01-05,Prague,Math Society,https://www.matematickaolympiada.cz/en
Olympiad,Physics Junior Cup,190,2024-02-09,Warsaw,Physics Association,https://www.ocsolympiad.org/2024/08/wypo-2.html
Olympiad,Chemistry Challenge,230,2024-03-14,Budapest,Chemistry Union,https://www.ichosc.org/
Olympiad,Biology Bee,220,2024-04-18,Vienna,BioScience Club,https://www.viennabiocenter.org/
Olympiad,Robotics Junior,240,2024-05-23,Eindhoven,RoboKids,https://2024.robocup.org/index.html
Olympiad,Computer Science Cup,260,2024-06-27,Stockholm,CS Foundation,https://sofworld.org/icso
Olympiad,Science Junior Bowl,250,2024-07-31,Copenhagen,Science Youth,https://www.soinc.org/
Olympiad,Engineering Challenge,270,2024-09-04,Milan,Young Engineers,https://youngengineers.org/
Olympiad,Math Stars,290,2024-10-09,Paris,Math Stars,https://nationalmathstars.org/
Olympiad,Science Whiz,280,2024-11-13,Berlin,Science Stars,https://www.berlin.de/en/events/3742941-2842498-night-of-shooting-stars.en.html
Conference,AI Healthcare Summit,910,2024-12-18,Boston,AI Health,https://himss1.eventsair.com/himss-2024-ai-in-healthcare-forum/agenda
Conference,FinTech Revolution,940,2025-01-22,Singapore,FinTech Global,https://fintech.global/2024/10/31/singapore-scales-up-fintech-innovation-with-new-global-finance-technology-network/
Conference,Smart Cities Expo,870,2025-02-26,Barcelona,Urban Tech,https://www.smartcityexpo.com/
Conference,Climate Tech Forum,820,2025-03-12,Stockholm,Green Tech,https://si.se/en/impact-pioneers-opencall-announcement_2025/
Conference,Future of Work,780,2025-04-16,San Francisco,WorkTech,https://www.worktechevents.com/events/worktech25-san-francisco/
Conference,5G Innovation,850,2025-05-21,Seoul,Telecom Alliance,https://www.m360series.com/asia-pacific
Conference,Quantum Computing,790,2025-06-25,Zurich,Quantum Foundation,https://sciencecluster.dk/event/conference-ai4quantum/
Conference,Cyber Security Summit,960,2025-07-30,Tel Aviv,Cyber Alliance,https://cyberweektau.com/
Conference,Space Innovation,880,2025-09-03,Los Angeles,Space Innovators,https://www.spacetechexpo.com/
Conference,Digital Health,920,2025-10-08,Berlin,HealthTech,https://www.dmea.de/en/about/dmea/
Seminar,Python Advanced,140,2025-01-07,Amsterdam,Python Pro,https://amsterdamdataacademy.com/product/programming-with-python/
Seminar,AI Ethics Advanced,160,2025-02-11,Boston,AI Ethics Pro,https://iapp.org/conference/iapp-ai-governance-global-north-america/
Seminar,Cloud Architecture,150,2025-03-17,Singapore,Cloud Masters,https://trainingcred.com/sg/training-course/cloud-architecture-and-design-patterns
Seminar,Blockchain Security,130,2025-04-21,Zurich,Crypto Security,https://www.blockchain.uzh.ch/courses/ddib25/
Seminar,UX Research,120,2025-05-26,Barcelona,UX Research Lab,https://www.meetup.com/barcelona-user-research-meetup-group/
Seminar,Digital Transformation,170,2025-06-30,Stockholm,Digital Pro,https://www.digitalfutures.kth.se/event/save-the-date-digitalize-in-stockholm-2025/
Seminar,IT Project Management,110,2025-08-04,San Francisco,PM Institute,https://www.pmi.org/events/pmi-training
Seminar,Data Science Bootcamp,180,2025-09-08,Seoul,Data Science Pro,https://www.hyperiondev.com/bootcamps/data-science-bootcamp/
Seminar,DevOps Essentials,190,2025-10-13,Tel Aviv,DevOps Academy,https://devopsdays.org/events/2025-tel-aviv/welcome/
Seminar,AR/VR Development,195,2025-11-17,Los Angeles,AR/VR Pro,https://conf.researchr.org/series/ar-vr
Olympiad,National Math Finals,310,2025-01-06,Prague,Math Nationals,https://www.raisingamathematician.com/motp2025
Olympiad,Physics Nationals,290,2025-02-10,Warsaw,Physics Nationals,https://allen.in/olympiad/international-physics-olympiad
Olympiad,Chemistry Nationals,330,2025-03-15,Budapest,Chemistry Nationals,https://www.ocsolympiad.org/2025/05/awards-of-licho-2025.html
Olympiad,Biology Nationals,320,2025-04-19,Vienna,Biology Nationals,https://biologycompetition.org/regions/nationals.html
Olympiad,Robotics Nationals,340,2025-05-24,Eindhoven,Robotics Nationals,https://cs.au.dk/news-events/news/show-news/artikel/robot-olympiad-2025-young-robot-builders-battled-for-a-spot-in-the-world-finals
Olympiad,CS Nationals,360,2025-06-28,Stockholm,CS Nationals,https://www.soinc.org/2025-national-tournament
Olympiad,Science Nationals,350,2025-07-02,Copenhagen,Science Nationals,https://www.soinc.org/2025-national-tournament
Olympiad,Engineering Nationals,370,2025-08-06,Milan,Engineering Nationals,https://www.uis.no/en/research/events/technology-and-natural-sciences/2nd-olympiad-in-engineering-science-oes-2025
Olympiad,Math World Qualifiers,390,2025-09-10,Paris,Math World,https://www.imo-official.org/
Olympiad,Science World Qualifiers,380,2025-10-14,Berlin,Science World,https://www.soinc.org/
Conference,NeuroTech Symposium,1120,2025-12-05,Boston,BrainTech Collective,https://theneurotech.eu/neurotecheu-symposium-2025
Conference,Sustainable Fashion Forum,980,2026-01-15,Milan,Fashion Innovation Hub,https://www.thesustainablefashionforum.com/
Conference,Maritime Tech Summit,840,2026-02-20,Oslo,OceanTech Alliance,https://splash247.com/ocean-alliance-deal-extended-to-2032/
Conference,Quantum AI Conference,910,2026-03-10,Zurich,Quantum AI Institute,https://www.eventbrite.dk/o/quantum-ai-institute-65552607503
Conference,Smart Agriculture Expo,760,2026-04-18,Amsterdam,AgriTech Europe,https://agrinextcon.com/top-agriculture-events-to-attend-in-europe-in-2025/
Seminar,Biomedical Engineering,145,2026-05-22,Stockholm,MedTech Academy,https://conferencealerts.co.in/stockholm/biomedical-engineering
Seminar,6G Wireless Workshop,165,2026-06-30,Seoul,Telecom Futures,https://www.o-ran.org/event/6th-o-ran-6g-workshop-the-road-to-6g-standards-views-from-industry-and-academia
Seminar,Digital Twin Technology,125,2026-07-14,Munich,Industry 4.0 Group,https://ima.it/en/ima-digital-takes-center-stage-at-sps-italia-2025-with-a-presentation-on-the-digital-twin/
Seminar,Climate Data Analysis,155,2026-08-28,Copenhagen,Green Data Lab,https://datalab.science.ku.dk/english/course/
Seminar,Space Law Fundamentals,135,2026-09-05,Paris,Space Policy Institute,https://www.space-institute.org/space-policy-and-law-course-2024-cpd-2/
Olympiad,AI Programming Challenge,410,2026-10-12,Tel Aviv,AI Foundation,https://ioai-official.org/
Olympiad,Green Chemistry Olympiad,380,2026-11-16,Zurich,Green Science Org,https://www.ichosc.org/
Olympiad,RoboEthics Competition,360,2027-01-20,Eindhoven,Ethics in Tech,https://competition.raiselab.ca/
Olympiad,Math Modeling Contest,430,2027-02-25,Budapest,Applied Math Society,https://m3challenge.siam.org/
Olympiad,NeuroScience Olympiad,390,2027-03-15,Boston,Brain Research Network,https://brainprize.org/
